address_name,id,name,type,full_name,purpose_name,address_comment,building_name,is_deleted
"Мосфильмовская улица, 53",70000001025495962,"Inwhite Medical, премиум-стоматология для взрослых и детей",branch,,,1 этаж,,
"улица Лётчика Бабушкина, 48Б",70000001020378673,"Столица, многопрофильный медицинский центр",branch,"Москва, улица Лётчика Бабушкина, 48Б",Медицинское учреждение,,,
"улица Щепкина, 35",4504128908411387,Европейский Медицинский Центр,branch,"Москва, улица Щепкина, 35 / Олимпийский проспект, 16 ст3",Медицинское учреждение,,,
"улица Фадеева, 4а",70000001024525488,"Refformat, клиника имплантации и хирургии",branch,,,1 этаж,,
"Ленинский проспект, 66",4504127908444873,"Андреевские больницы, медицинский центр",branch,,,1 этаж,,
"Комсомольская улица, 3",70000001023040520,"Медина, медицинский центр",branch,"Электросталь, Комсомольская улица, 3",Медицинское учреждение,,,
"Кольская улица, 2 к3",4504127908970847,Поликлиника №6 им. Г.Е. Порхачевой,branch,"Москва, Кольская улица, 2 к3",Медицинское учреждение,,,
"улица Гайдара, 12а",70000001029261774,"Жемчужина Подолья, семейный медицинский центр",branch,"Подольск, улица Гайдара, 12а",Медицинское учреждение,1 этаж,,
"улица Говорова, 18/1",70000001022234627,"Верамед, медицинский центр",branch,,,"1, 2, 3, 4 этаж",,
"Ленинградское шоссе, 16а ст3",70000001022327309,"Чайка Метрополис, клиника",branch,,,1 этаж,,
"Хорошёвское шоссе, 48",4504128908460440,"Дантистофф, сеть стоматологических центров",branch,,,,,
"Марксистская улица, 5",70000001006208428,"Имплант Сити, стоматологический центр",branch,,,1 этаж,,
"улица 1905 года, 7 ст1",4504128908541831,"Открытая клиника, медицинский центр",branch,,,1 этаж,,
"улица Корнилаева, 26",70000001064226067,Стоматология рядом,branch,,,1 этаж,,
"улица Декабристов, 24",70000001105086733,"Здоровье, клиника",branch,"Королёв, улица Декабристов, 24",Медицинское учреждение,,,
"Савёлкинский проезд, 4",4504127908965700,"Детство плюс, семейная медицинская клиника",branch,,,1-3 этаж,,
"Дмитровское шоссе, 81",70000001060475294,"КДС Клиник, многопрофильный медицинский центр",branch,,,2 этаж,,
"улица Липовый парк, 4 к1 ст1",70000001029497824,"Imma, медицинская клиника",branch,,,1 этаж,,
"Украинский бульвар, 6",70000001033490179,"ИмплантЛаб, стоматологическая клиника",branch,,,1 этаж,,
"Андропова проспект, 8",70000001031471770,"Cerecon, центр стоматологии",branch,,,6 этаж,,
"Каширское шоссе, 74 к1",4504127915361101,"Медквадрат, клиника",branch,"Москва, Каширское шоссе, 74 к1",Медицинское учреждение,,,
"Старая Басманная улица, 7 ст1",70000001046733063,"CityMed, медицинский центр",branch,,,2 этаж,,
"Можайское шоссе, 2",4504127908566295,"Мать и дитя, центр ЭКО",branch,,,1 этаж,,
"улица Маршала Бирюзова, 4 к1",70000001061760288,"Docdeti, детская клиника доказательной медицины",branch,,,1 этаж,,
"проспект Мира, 16 ст2",70000001060776282,"Dr.Mun, стоматология",branch,,,,,
"улица Станционная, 33",4504127915847263,"Семейная поликлиника №4, взрослое и детское отделение",branch,"Королёв, улица Станционная, 33",Медицинское учреждение,"1, 2 этаж",,
"улица Шаболовка, 54",70000001091622078,"Бест клиник, медицинский центр",branch,,,1 этаж,,
"улица Арбат, 42 ст3",4504127908668888,"Юнидент, стоматологическая клиника",branch,"Москва, улица Арбат, 42 ст3",Медицинское учреждение,1 этаж,,
"Пролетарская улица, 1/3",70000001057849714,"Медина-С, медицинский центр",branch,,,2 этаж; вход в арку,,
"Малая Филёвская улица, 22",70000001066665742,Стоматологическая клиника доктора Фадина,branch,,,1 этаж,,
"Факультетский переулок, 4",4504127908435096,"Зуб.ру, стоматологическая клиника",branch,,,1 этаж,,
"Новая Басманная улица, 5 ст1",4504127908669294,"РЖД-Медицина, центральная поликлиника",branch,,,,,
"улица Талалихина, 2/1 ст7",70000001021679712,"Династия врачей, клиника стоматологии",branch,"Москва, улица Талалихина, 2/1 ст7",Медицинское учреждение,1 этаж,,
"Космодамианская набережная, 22",70000001047923964,"Центр Плюс, медицинская клиника",branch,"Москва, Космодамианская набережная, 22",Медицинское учреждение,1 этаж,,
"улица Удальцова, 77",4504127908576947,"Олимп, медико-диагностический центр",branch,,,1-3 этаж,,
"Солнцевский проспект, 19",70000001018396589,"МедСемья, клиника",branch,,,1 этаж,,
"Садовая-Кудринская улица, 28-30",70000001032231711,Медицинский стоматологический центр Министерства обороны РФ,branch,,,1 этаж,,
"Шелепихинская набережная, 42 к2",70000001061501961,"L.A clinic, клиника натуральной эстетики лица",branch,,,1 этаж,,
"Товарищеский переулок, 10 ст1",70000001019781135,"Креде эксперто, группа клиник",branch,,,1 этаж,,
"Садовая-Самотечная улица, 16 ст1",4504127908569553,Многопрофильный медицинский центр им. Святослава Федорова,branch,"Москва, Садовая-Самотечная улица, 16 ст1",Медицинское учреждение,,,
"Зелёная улица, 45",4504127909075560,"Бобер, лечебно-оздоровительный центр",branch,,,"1, 2, 3, 4 этаж",,
"Рождественская улица, 7",4504127917141186,Городской медицинский центр,branch,,,1 этаж,,
"улица Матросская Тишина, 14а",4504127908918470,"Союз, многопрофильная клиника",branch,"Москва, Союз, многопрофильная клиника",Медицинское учреждение,1 этаж,"Союз, многопрофильная клиника",
"Советская улица, 50",70000001037384236,"Бэл-ар мед, клиника",branch,,,1-3 этаж,,
"Мясницкая улица, 13 ст13",70000001103752407,"Орис, медицинский центр",branch,,,,,
"Можайское шоссе, 4 к1",4504128908459900,"Элегия, медицинский центр",branch,,,1 этаж,,
"Бутырская улица, 46 к2",70000001043921291,"Авторская стоматология доктора Муссурова, стоматологическая клиника",branch,,,2 этаж,,
"Известковый переулок, 5 ст1",70000001055237960,Студия современной стоматологии Александра Газарова,branch,,,1 этаж,,
"улица Лавочкина, 22",70000001039548459,СМК Клиника | Семейная Медицинская Клиника,branch,,,1 этаж,,
"Каланчёвская улица, 17",4504128908548101,"Новостом, стоматологический центр",branch,,,2 этаж; 1 подъезд,,
"Валовая улица, 8 ст1",4504127908382261,Стоматологическая клиника Генри Кларка,branch,,,2 этаж,,
"улица Красная Пресня, 21",70000001030167509,"АстраДент, стоматологическая клиника",branch,,,1 этаж,,
"Пригородное шоссе, 3",70000001047537917,"GoldenMed, медицинская клиника",branch,,,1 этаж,,
"4-й Верхний Михайловский проезд, 10 к6",4504127908630888,"Евромедсервис, медицинский центр",branch,"Москва, 4-й Верхний Михайловский проезд, 10 к6",Медицинское учреждение,,,
"Варшавское шоссе, 75 к1",4504127915235527,"Здоровье, многопрофильный медицинский центр",branch,,,1 этаж,,
"Ломоносовский проспект, 25 к1",4504128908603855,"Shifa, многопрофильный медицинский центр",branch,,,1 этаж,,
"Можайское шоссе, 119",70000001061807939,"Хэлс Мед, медицинский центр",branch,,,1 этаж,,
"улица Маяковского, 21",4504128908354534,"Парацельs, медицинский центр",branch,"Истра, Парацельs, медицинский центр",Медицинское учреждение,1-3 этаж,"Парацельs, медицинский центр",
"Мясницкая улица, 13 ст13",70000001044390883,"Центральная, медицинский центр",branch,,,,,
"Шелепихинская набережная, 34 к1",70000001037977264,"Улыбнись, стоматологический центр",branch,,,1 этаж,,
"улица Герасима Курина, 16",70000001007401525,"Spectra, многопрофильный медицинский центр",branch,,,"1, 2 этаж; вход с торца",,
"Мантулинская улица, 9 к1",70000001089505253,"Флоренция, стоматология",branch,,,,,
"улица Комарова, 10",4504127920620557,"Исток, клиника здоровья",branch,"Звенигород, улица Комарова, 10",Медицинское учреждение,,,
"Гарибальди улица, 15",70000001031811703,"Дентал Фэнтези, детская стоматологическая клиника",branch,,,1 этаж,,
"Сосновая аллея, 2а",70000001024145516,"КДЦ, медицинский центр",branch,"Зеленоград, Сосновая аллея, 2а",Медицинское учреждение,,,
"Напрудный переулок, 15",70000001095745140,"Миа.РФ, центр имплантации и стоматологии",branch,,,,,
"Новокузнецкая улица, 3",4504127908393373,"Дентавита, стоматологическая клиника",branch,,,1 этаж,,
"улица Большая Молчановка, 18",70000001028411186,"Проприкус, стоматология",branch,,,,,
"Зеленоград, к1130",70000001020947070,"Аксис, медицинский центр",branch,,,,,
"Луговой проезд, 4 к1",70000001034717161,"ПрезиДЕНТ на Луговом, сеть стоматологических клиник",branch,,,1 этаж,,
"Коровинское шоссе, 13 к2",70000001029195519,"Латум клиника, многопрофильная медицинская клиника",branch,,,,,
"проспект Маршала Жукова, 3",70000001023438110,"Дентум, стоматологическая клиника",branch,,,1 этаж,,
"Южная улица, 10/1",70000001006478141,"ВТМ, клиника",branch,"Люберцы, Южная улица, 10/1",Медицинское учреждение,1 этаж,,
"жилой комплекс Бутово-Парк, 23 к1",70000001006411100,"ПреАмбула, детский медицинский центр",branch,,,2 этаж,,
"Вокзальная улица, 25 ст1Б",70000001024002773,"Фабрика Улыбок, медицинский центр",branch,,,1 этаж,,
"Большая Дорогомиловская улица, 5",70000001060850551,"OrthoLike, клиники грамотной ортодонтии",branch,,,1 этаж,,
"9-я Парковая улица, 8а",4504127908365814,"Тигренок, детская клиника",branch,,,,,
"улица им. К.И. Вороницына, 1 к2",70000001101693188,"YourMed, медицинский центр для всей семьи",branch,,,,,
"улица Калинина, 26",4504127908382038,"Реутдент, стоматологическая клиника",branch,"Реутов, улица Калинина, 26",Медицинское учреждение,,,
"улица Прокудина, 4а",70000001096263294,"Сомед ГКЛДЦ №1, многофункциональный медицинский центр",branch,"Ивантеевка, улица Прокудина, 4а",Медицинское учреждение,1 этаж,,
"Цветной бульвар, 21 ст6",70000001037261535,"Твой Стом, стоматологическая клиника",branch,,,1 этаж,,
"Юбилейный проспект, 16",70000001021163419,"Моя семья, клиника",branch,,,1 этаж,,
"улица Палиха, 10 ст10",70000001110445844,"Eurokappa, научно-клинический ортодонтический центр",branch,,,,,
"проспект Ленинского Комсомола, 5а",4504127908376060,"Ваш Доктор, медицинский центр",branch,,,1 этаж,,
