address_name,id,name,type,full_name,purpose_name,address_comment,building_name,is_deleted
"Сельскохозяйственная улица, 38 к1",70000001086714443,"Smile progress, стоматологическая клиника",branch,,,1 этаж,,
"улица Кузнецкий Мост, 9/10",70000001019588816,"Зубнов, стоматологическая клиника",branch,,,3 этаж,,
"Ленинский проспект, 82",4504127908638912,"Здоровье-основа всего!, медицинский центр",branch,,,цокольный этаж,,
"Ленинский проспект, 111 к1",4504127917278912,"Доктор Анна, семейная клиника",branch,,,1 этаж,,
"улица Янковского, 1 к3",70000001086804117,Клиника функциональной стоматологии доктора Медведева,branch,,,"1, 2 этаж",,
"Шенкурский проезд, 11",70000001062547529,Кс-клиник,branch,,,2 этаж,,
"3-й Самотёчный переулок, 11 ст1",70000001098898014,Стоматология доктора Сердюк,branch,,,2 этаж,,
"Новослободская улица, 46 ст1",4504127908527722,"Специалист, стоматологическая клиника",branch,,,2 этаж,,
"Мичуринский проспект, 56",70000001084561763,"Айэм Клиник, клиника эстетической стоматологии",branch,,,1 этаж,,
"Олимпийский проспект, 16 ст5",4504127908369431,"US Dental Care, стоматологический центр",branch,,,2 этаж,,
"улица Удальцова, 12",4504127908493312,"Новадент, стоматологическая клиника",branch,,,1 этаж,,
"Киевская улица, 22",4504128908359631,"Эскулап, стоматологический центр",branch,,,1 этаж,,
"квартал 3А, 29",4504128908568219,"Здоровые дети, семейная клиника",branch,,,1 этаж,,
"2-я Черногрязская улица, 6 к2",70000001035900357,"MaxTreat, пародонтологический центр Максима Копылова",branch,,,1 этаж,,
"3-й Самотёчный переулок, 11 ст1",70000001095306039,Превентивная Стоматология,branch,,,2 этаж,,
"Куприна проспект, 34 к2",70000001084086873,"Дентал Диджетал Студио, центр стоматологии",branch,,,99 офис; 2l этаж; справа от подъезда №3,,
"Мичуринский проспект, 21 к4",70000001027659292,"Арм клиник, стоматологическая клиника",branch,,,1 этаж,,
"Ильинский бульвар, 4",70000001033890621,"Макс-дентал, стоматологический центр",branch,,,1 этаж,,
"улица Победы, 17 к1",70000001064280022,"Семейная стоматология, клиника",branch,,,1 этаж,,
"1-й Красносельский переулок, 3",70000001071242509,"La Dental soul, стоматологическая клиника",branch,,,1 этаж,,
"улица 3-е Почтовое отделение, 86",70000001057353667,"Мрг, медицинский центр",branch,,,1 этаж,,
"Ленинградский проспект, 80",4504128908356408,Дентал 7,branch,,,1 этаж,,
"улица Марьинский Парк, 19 к2",4504127908482264,"Москва, стоматологическая клиника",branch,,,1 этаж,,
"улица Карла Маркса, 25",70000001023184452,"Дюна, клиника 3D цифровой стоматологии",branch,,,1 этаж,,
"Шарикоподшипниковская улица, 38 ст3",70000001038497322,"Russmile, стоматологическая клиника",branch,,,отдельно стоящее здание с кирпичным фасадом,,
"Нарвская улица, 1а к4",70000001076194881,"Acula, стоматологическая клиника",branch,,,12 офис; 1 этаж,,
"Грузинский Вал улица, 26 ст1",70000001062941866,"Concept dental studio, стоматологическая клиника",branch,,,,,
"улица Барамзиной, 14/4",4504128908544944,"Профисмайл, стоматологическая клиника",branch,,,1 этаж,,
"Ленинградский проспект, 56",70000001061688599,"Академия Стоматологии, стоматологическая клиника",branch,,,1 этаж,,
"Краснобогатырская улица, 19а",4504127908535861,"Ортодонтика, ортодонт-центр",branch,,,3 этаж,,
"улица Лётчика Грицевца, 4",70000001041182567,"Алисар, стоматологический центр",branch,,,3 помещение,,
"улица Гиляровского, 57",4504127910930196,Поликлиника Центросоюза,branch,,,1 этаж,,
"бульвар Маршала Крылова, 15",4504127908453441,"Креатив дент Одинцово, стоматологическая клиника",branch,,,1 этаж,,
"Зелёный проспект, 66 к2",70000001022561742,"Мать и дитя, стоматологический центр",branch,,,1 этаж,,
"улица Белобородова, 2 к3",70000001057583940,Моя стоматология Три слона,branch,,,2 этаж,,
"улица Кирова, 1",4504127908366823,"Hi-Tech Clinic, стоматологическая клиника",branch,,,1 этаж,,
"Пятницкое шоссе, 37",70000001031804286,"Гаянэ, стоматология",branch,,,"1 этаж; между 3 и 4 подъездом, по лестнице правая дверь",,
"улица Октября, 38",70000001063592233,Авторская стоматология Громовой,branch,,,1 этаж,,
"улица Авиаконструктора Петлякова, 31",70000001080858036,"АльСмайлДент, стоматологическая клиника",branch,,,1 этаж,,
"Дмитровское шоссе, 165д к2",70000001081285001,"Д-Медико, стоматологическая клиника",branch,,,6/1 помещение,,
"микрорайон Гагарина, 29",70000001066789598,"Дентрум, стоматологическая клиника",branch,,,"вывеска Стоматология, отдельный вход за домом",,
"Перовская улица, 39 к2",70000001103037990,"Vivastom, стоматологическая клиника",branch,,,,,
"Трубниковский переулок, 21 ст2",70000001082545439,True Clinic,branch,,,1 этаж,,
"Беловежская улица, 79",70000001057289485,"Oria clinic, медицинская клиника",branch,,,2 этаж,,
"Никулинская улица, 15 к1",70000001022348183,"Ардента, стоматологическая клиника",branch,,,,,
"Троицкая улица, 8",70000001041531183,"Doctor x, стоматологическая клиника",branch,,,1 этаж,,
"Новодмитровская улица, 2 к2",70000001087225196,"Ede Clinical Practice, стоматология",branch,,,1707 офис; 17 этаж,,
"Куркинское шоссе, 17",70000001017527525,"МиПоль, авторская стоматологическая клиника",branch,,,1 этаж,,
"Ленинградский проспект, 75 к1Б",4504127911344765,"Вансон, стоматологическая клиника",branch,,,1 этаж,,
"Анны Ахматовой улица, 11 к1",70000001090068136,"Mr.Doc, стоматология",branch,,,5Н помещение; 1 этаж,,
"Пятницкое шоссе, 15",4504127908972517,"МультиМед Митино, многопрофильный медицинский центр",branch,,,,,
"улица Хачатуряна, 12 к3",70000001020402273,"Доктор Плюс, медицинский центр",branch,,,1 этаж,,
"Молодёжная улица, 76",70000001067254447,"Номи дент, стоматологическая клиника",branch,,,1 этаж,,
"улица Юных Ленинцев, 71 к1 ст5",4504127908842388,"Медцентрум, лечебно-диагностический центр",branch,"Москва, улица Юных Ленинцев, 71 к1 ст5",Медицинское учреждение,,,
"Лихачёвский проспект, 70 к2",70000001019233167,"Дентал студия, стоматологическая клиника",branch,,,1 этаж,,
"Нахимовский проспект, 4",70000001027914634,"Ога дент групп, стоматологическая клиника",branch,,,1 этаж,,
"Дмитровское шоссе, 107а к1",70000001045071681,"Аедент, стоматология",branch,,,1 этаж,,
"Измайловский бульвар, 58",70000001062600167,"Мосденталклуб, стоматологическая клиника",branch,,,2 этаж; вход со двора,,
"улица Удальцова, 79",70000001020879484,"Азбука, стоматологическая клиника",branch,,,,,
"Ленская улица, 28",4504127908454091,"Лагуна-стом, стоматологическая клиника",branch,,,1 этаж,,
"бульвар Дмитрия Донского, 11 к2",4504127908372281,"Арбаль, стоматологический центр",branch,,,,,
"бульвар Космонавтов, 1",70000001028170432,"Аркобалено, стоматологическая клиника",branch,,,2 этаж,,
"Есенинский бульвар, 10 к1",70000001040002385,"Умный доктор, медицинский центр",branch,,,,,
"Чертановская улица, 55",70000001055593841,"СМДент, стоматология",branch,,,,,
"улица Столетова, 19",70000001087224188,Институт Гнатологии,branch,,,,,
"Совхозная улица, 2",70000001006324923,"МедиВел, стоматология",branch,,,,,
"Каширское шоссе, 16",70000001039700368,"Андерсон, стоматологическая клиника",branch,,,1 этаж,,
"Высокая улица, 12",4504127908435939,"Ива-дент, стоматологический центр",branch,,,1 этаж,,
"10-я Парковая улица, 3",4504127921319427,"Айсдент, стоматологическая клиника",branch,,,1 этаж,,
"улица Куусинена, 19 к3",70000001054544671,"Dental brothers, детский стоматологический центр",branch,,,1 этаж,,
"Покровский бульвар, 4/17 ст10",4504127908472891,"Меди на Покровском, стоматологическая клиника",branch,,,1 этаж,,
"Минусинская улица, 3",4504127915267327,"Профмедпомощь, многопрофильный лечебно-диагностический комплекс",branch,,,1 этаж,,
"Можайский Вал улица, 11",4504127908682959,"Первый МГМУ им. И.М. Сеченова Минздрава России, стоматологический центр",branch,,,7 этаж,,
"Малый Сухаревский переулок, 9 ст1",70000001034000069,"Вальтерсон, стоматологическая клиника",branch,,,1 этаж,,
"проспект Мира, 95",70000001099250618,"Дентомо Клиник, стоматологическая клиника",branch,,,3 этаж; домофон 130,,
"Карманицкий переулок, 9",4504127908550210,Стоматология На Смоленской,branch,,,3 этаж,,
"Зеленоградская улица, 39 к1",70000001020710684,"М-Вита, медицинский центр",branch,,,1 этаж,,
"Лазоревый проезд, 3 к3",70000001046783735,"Дентси, стоматологическая клиника",branch,,,1 этаж,,
"проспект Маршала Жукова, 19 к1",70000001066778976,"OrthoClick доктора Лукбанова Т.Е., стоматологическая клиника",branch,,,115 офис; 1 этаж,,
"Большой Каретный переулок, 24 ст2",70000001055350643,"Meira, стоматология",branch,,,4 офис; 2 этаж,,
"Кутузовский проспект, 35",70000001022450073,"Studio32, клиника функциональной стоматологии и имплантологии",branch,,,"1, 2 этаж; вход с ул. Киевской",,
"Поречная улица, 9",70000001039818075,Клиника доктора Красниковой,branch,,,1 этаж,,
"Кузьминская улица, 15",70000001064321569,"Дентал&Смайл, стоматологическая клиника",branch,,,1 этаж,,
"3-й Некрасовский проезд, 3 к2",70000001044307992,"Антей, стоматологический комплекс",branch,,,2 помещение; 1 этаж,,
"Можайское шоссе, 169",70000001045191248,"Оптима, стоматологическая клиника",branch,,,1 этаж,,
"улица Колпакова, 26 к2",70000001054264213,"Ортофея, стоматологическая клиника",branch,,,1 этаж,,
"Зеленоград, к1557",4504128908443642,Центр функциональной стоматологии,branch,,,1 этаж,,
"Изюмская улица, 61 к1",70000001006206532,"Real Мед, медицинский центр",branch,,,,,
"Юбилейная улица, 8/1",70000001032170513,"Дента-профит, стоматологическая клиника",branch,,,1 этаж,,
"2-й Кожуховский проезд, 17",70000001056730992,"Юга дент, стоматологический центр",branch,,,1 этаж,,
"улица Александры Монаховой, 94 к2",70000001045036334,"Москва, стоматологическая клиника",branch,,,,,
"улица Дмитриевского, 1",70000001006433984,Центр Семейной Стоматологии,branch,,,,,
"улица Барышиха, 12 к1",70000001007412912,Центр семейной стоматологии,branch,,,1 этаж,,
"улица Фрунзе, 1д к2",4504127908496811,"Павлин, стоматологический центр",branch,,,1 этаж,,
"Каширское шоссе, 12",70000001020353395,"Имплант профи, стоматология",branch,,,1 этаж,,
"Сивашская улица, 7 к1",70000001111319948,Balance dent,branch,,,,,
"жилой комплекс Бутово-Парк, 23 к1",70000001030431872,"Лм-клиника, медицинский центр",branch,,,2 этаж,,
"село Новлянское, ст8м",70000001034742724,"Ситимед, центр семейной медицины",branch,,,,,
"Трифоновская улица, 57а",4504127908527980,"Стом1, стоматологическая клиника",branch,,,1 этаж,,
"Большая Очаковская улица, 5",70000001018525893,Европейский центр стоматологии,branch,,,1 этаж,,
"Бирюлёвская улица, 13 к4",70000001023066087,"Клиник дент, стоматологическая клиника",branch,,,,,
"Барабанный переулок, 4",70000001027197830,"Ортосклиник, стоматология",branch,,,мансардный этаж,,
"Большой Николопесковский переулок, 6",4504127908416899,"Дилос, стоматологическая клиника",branch,,,цокольный этаж,,
"Таллинская улица, 32 к3",4504127908568072,"Форум-Экспо, стоматологическая клиника",branch,,,1 этаж,,
"шоссе Энтузиастов, 11а к2",70000001062592243,"Dofamin, стоматологическая клиника",branch,,,1 этаж; со стороны трамвайных путей,,
"Первомайская улица, 56",4504127908473326,"МедикаСтом, стоматологическая клиника",branch,,,1 этаж,,
"Большая Филёвская улица, 25",70000001040489241,"Элит Дент Фили, стоматологическая клиника",branch,,,1 этаж,,
"улица Мира, 38",70000001040540075,"ProfDental, стоматология",branch,,,1 этаж,,
"Авиационная улица, 63",70000001094108986,"Резиденция улыбок, стоматологическая клиника",branch,,,2 этаж,,
"улица Вавилова, 15",70000001040394469,"Medstone, авторская стоматология, косметология",branch,,,1 этаж,,
"Широкая улица, 8",4504127908399655,"Дентал ньюз, стоматологическая клиника",branch,,,7 офис; 2 этаж,,
"улица Героев Панфиловцев, 12 к1",70000001066594690,"Мар-Мед, многопрофильный медицинский центр",branch,,,вход с ул. Героев Панфиловцев,,
"3-я Парковая улица, 8/19",70000001092816537,"Iq Denta, стоматологический центр",branch,,,1 этаж,,
"улица Земляной Вал, 54 ст2",70000001102631003,Стоматология и учебный центр Артуша Джангиряна,branch,,,2 этаж; 2 подъезд,,
"улица Парковая, 1",70000001060429927,"Зуб Доктор, цифровая стоматология",branch,,,1 этаж,,
"Мичуринский проспект, 6 к3",70000001032139428,"G&G clinic, стоматологическая клиника",branch,,,1 этаж,,
"Фрунзенская набережная, 38/1",70000001111080019,Enamel by Alexander Dubkov,branch,,,,,
"Кировоградская улица, 9 к2",4504127908365989,"Dentberg, стоматологическая клиника",branch,,,1 этаж,,
"Можайское шоссе, 55",4504127908391117,"Дента Прайм, стоматологическая клиника",branch,,,1 этаж,,
"Профсоюзная улица, 7а",70000001006496146,"Smile Dent, медицинский центр",branch,,,1 этаж,,
"Рязановское шоссе, 31 к1",70000001078271258,"Glav Stom, стоматологическая клиника",branch,,,1 этаж,,
"проспект Ленина, 98/9",70000001083046957,"Зубные Врачи, стоматологическая клиника",branch,,,,,
"Марксистская улица, 3 ст3",4504127908780828,Стоматология №4,branch,,,2 этаж,,
"Коровинское шоссе, 1 к2",70000001043518189,"Совершенная улыбка, стоматологическая клиника",branch,,,,,
"Зеленоград, к445",70000001054233985,"Никор, стоматологическая клиника",branch,,,1 этаж,,
"Сущёвская улица, 27 ст2",70000001041484855,"Prodент, стоматологическая клиника",branch,,,3.10 офис; 3 этаж; B4 подъезд,,
"улица Архитектора Щусева, 2 к3",70000001081669510,"Tetradent, стоматология",branch,,,1 этаж,,
"Малый Козловский переулок, 6",4504127908446334,"Исцеление, клиника",branch,,,цокольный этаж,,
"улица Белобородова, 2 к3",4504127908489080,"Никадент, стоматологическая клиника",branch,,,1 этаж,,
"3-й микрорайон, 10",70000001029794001,"Дентал клиник плюс, центр семейной стоматологии",branch,,,2 этаж,,
"Ленинский проспект, 104",70000001042680479,"Биг смайл, стоматологическая клиника",branch,,,,,
"улица Громова, 10/2",70000001080535965,"Умная медицина, стоматологическая клиника",branch,"Удельная, улица Громова, 10/2",Медицинское учреждение,,,
"Марьинский переулок, 1",70000001025712227,"Иммунитет, медицинский центр",branch,,,,,
"Кременчугская улица, 5 к3",70000001033947967,"20/32, детская и взрослая стоматология",branch,,,1 этаж,,
"Спартаковская площадь, 14 ст2",70000001050743565,"Миодент, стоматологическая клиника",branch,,,2101 офис; 1 этаж,,
"5-й Монетчиковский переулок, 18",70000001055894550,"Z.A.H., стоматология",branch,,,1 этаж,,
"Ельнинская улица, 15 к3",70000001066297695,"Элизиум, клиника стоматологии и косметологии",branch,,,1 этаж,,
"Профсоюзная улица, 104",70000001039748348,"Союз, медицинский центр",branch,,,2 этаж,,
"Набережная улица, 21 к1",70000001034022333,"Водники, стоматологическая клиника",branch,,,,,
"2-й Сыромятнический переулок, 10",70000001032572417,"IqDent, стоматологическая клиника",branch,,,2 этаж,,
"Донецкая улица, 30 к2",70000001075272296,"Колибри, стоматологическая клиника",branch,,,1 этаж,,
"Солдатская улица, 3",70000001075288044,"Атк мед-профи, диагностический центр",branch,,,1 этаж,,
"Институтская улица, 17",4504127919401899,"Новастом, стоматологический центр",branch,,,2 этаж; рядом с супермаркетом Пятерочка,,
"Ленинский проспект, 131",70000001093771807,"Damas Medical, центр стоматологии",branch,,,,,
"Заречная улица, 9",70000001021283829,"Улыбка, частная стоматологическая клиника",branch,,,,,
"улица Сергия Радонежского, 12 к1",70000001078640401,"Радонеж, стоматология",branch,,,1 этаж,,
"улица Горького, 7",70000001006826734,"Профмед, стоматология",branch,,,1 этаж,,
"Люблинская улица, 76 к5",70000001101595549,"Белая медведица, детская стоматология",branch,,,1 этаж,,
"Нарвский просек, 25",70000001039367295,"Белла Денте, стоматологическая клиника",branch,,,,,
"улица Циолковского, 7",70000001104866361,"Просто Улыбка, стоматологическая клиника",branch,,,,,
"улица Дмитрия Ульянова, 43 к1",70000001080892917,"32 истории, стоматологическая клиника",branch,,,1 этаж,,
"Флотская улица, 76",4504127908393393,"Дентадизайн, стоматологический центр",branch,,,1 этаж,,
"Вернадского проспект, 105 к4",4504127921033387,Центр современной стоматологии,branch,,,2 этаж,,
"улица Сколковская, 3а",70000001048493985,"EcoDent, стоматологическая клиника",branch,,,1 этаж,,
"Перовское шоссе, к2/2",70000001097623810,"Monro Dental Clinic, стоматологический центр",branch,,,,,
"Покровская улица, 17 к5",70000001044286500,"ДентАс, стоматологическая клиника",branch,,,1 этаж,,
"Бакунинская улица, 17/28",4504127908382002,"Вэнстом, стоматологическая клиника",branch,,,1 этаж,,
"Дубнинская улица, 53 к3",4504128908372202,"МединаМед, медицинский центр",branch,,,,,
"Свободный проспект, 37/18",70000001031550279,"Мед-Эконом, стоматологическая клиника",branch,,,,,
"Неглинная улица, 13",4504127908364286,"Bosco, стоматологическая клиника",branch,,,2 этаж,,
"Андропова проспект, 38",70000001036202025,"Элемент, стоматологический центр",branch,,,1 этаж,,
"Ломоносовский проспект, 25 к3",70000001007195112,"Элефант, центр красоты и здоровья",branch,,,1 этаж,,
"улица Липовый парк, 11",70000001033577276,"Коммунарка, стоматология",branch,,,вход с ул. Александры Монаховой,,
"Шлюзовая набережная, 4",70000001058861786,"Фуллдент, стоматологическая клиника",branch,,,1 этаж,,
"Центральная улица, 39",70000001007372562,"Altis med, медицинский центр",branch,,,2 этаж,,
"Пионерская улица, 19",70000001034590434,"Милар клиник, центр косметологии и красоты",branch,,,9 офис; 1 этаж,,
"улица Гиляровского, 7",70000001021926412,"Вива клиник, центр профессиональной стоматологии",branch,,,1 этаж,,
"шоссе Энтузиастов, 3 к2",4504128908774573,Стоматология доктора Жукова,branch,,,,,
"Волоколамское шоссе, 71 к2",70000001082348753,"Доктор Дент, стоматология",branch,,,,,
"Новочеркасский бульвар, 51",70000001091801000,"Медикал Амир, медицинский центр",branch,,,1 этаж,,
"Ильинский бульвар, 3",70000001026765220,"Fresh dental, стоматологическая клиника",branch,,,1 этаж,,
"Набережная улица, 35",70000001038779449,"СаМед, медицинский центр",branch,,,НП 02 помещение; 1 этаж,,
"Кожевническая улица, 14 к1 ст2",70000001020824885,"Бьюти смайл, стоматология",branch,,,1 этаж,,
"улица Покрышкина, 3",70000001061722853,"Stomio, стоматология",branch,,,1 этаж,,
"Гагаринский переулок, 37 ст1",70000001006149931,"Арбатский, стоматологическое отделение",branch,,,цокольный этаж,,
"улица Недорубова, 10",70000001033162528,"Family Dent, стоматологическая клиника",branch,,,1 этаж,,
"Новокрюковская улица, 10",70000001045036880,"Эмидент, стоматологическая клиника",branch,,,2 этаж,,
"Привольная улица, 61 к1",70000001023770875,"Мона Лиза, стоматология",branch,,,1 этаж,,
"Соколово-Мещерская улица, 14",4504127920076629,"Кдс дентал, стоматологический центр",branch,,,1 этаж,,
"улица Большая Ордынка, 17",70000001101966354,"FaDentist, стоматологическая клиника",branch,,,1 этаж,,
"улица Ватутина, 18 к2",4504127909258717,"Улыбайся!, центр стоматологии",branch,,,1 этаж,,
"Варшавское шоссе, 132 ст9",70000001048507983,"Оксиль, стоматологическая клиника",branch,,,1 этаж,,
"Трубная улица, 25 ст1",70000001060445013,"Nova, стоматологический центр",branch,,,1 этаж,,
"Ленинский проспект, 81/2",70000001031353019,"Veneer Clinic, стоматологическая клиника",branch,,,,,
"Новокузнецкая улица, 33 ст1",70000001102756945,"Имплантс, стоматологическая клиника",branch,,,,,
"Хавская улица, 1",4504127921669279,"Дентомир плюс, центр семейной стоматологии и косметологии",branch,,,1 этаж,,
"жилой комплекс Бутово-Парк, 14",70000001020924202,"CMD, многопрофильный медицинский центр",branch,,,1 этаж,,
"Зельев переулок, 3",70000001034558418,Центр экспертной стоматологии,branch,,,1 этаж,,
"Чапаевский переулок, 3",4504128908911540,"Queen nella, стоматологический центр для взрослых",branch,,,5А секция; 1 этаж,,
"бульвар Веласкеса, 7 к4",70000001061596425,"Клиника МЦДК, медицинский центр",branch,,,1 этаж,,
"улица Строителей, 5",70000001068052506,Дуо клиник,branch,,,1 этаж,,
"улица Палиха, 13",70000001017940501,"Дента, стоматологическая клиника",branch,,,2 этаж,,
"Новокосинская улица, 9 к1",4504127908453448,"Кредо, стоматологический центр",branch,,,1 этаж,,
"улица Генерала Антонова, 3а",70000001066900149,"Затми Солнце, стоматология",branch,,,2 этаж,,
"Сходненская улица, 13",70000001088798938,"М.Ф. Клиник, многопрофильная медицинская клиника",branch,,,,,
"Ленинский проспект, 99",70000001031089572,"Академия стоматологии, современная стоматология для всей семьи",branch,,,2 этаж,,
"Краснохолмская набережная, 13 ст1",70000001026677568,Стоматология на Таганке №1,branch,,,1 этаж,,
"Октябрьский проспект, 18/3",70000001028661279,"Ваш доктор, медицинский центр",branch,,,2 этаж,,
"Садовая-Черногрязская улица, 20/28",70000001063408282,"Yan’s clinic, клиника",branch,,,2 этаж,,
"3-й Кадашёвский переулок, 6/13 ст1",70000001024904388,"Доктор Жан, стоматологическая клиника",branch,,,,,
"Варшавское шоссе, 94",70000001025024311,"Космедент. ру, стоматологическая клиника",branch,,,2 этаж,,
"Сущёвская улица, 27 ст2",4504127908386287,"Grinder, стоматологическая клиника",branch,,,1 этаж,,
"Архангельская улица, 2",70000001065472965,"Аве Дентал Клиник, стоматологическая клиника",branch,,,1 этаж,,
"улица Карбышева, 1",4504127908957778,"Элексир дента, стоматологическая клиника",branch,,,1 этаж,,
"3-я Парковая улица, 41а",4504127909074817,"Зубки Всем!, стоматологическая клиника",branch,,,2 этаж,,
"Кастанаевская улица, 58",70000001024816283,"Kg clinic, медицинский центр",branch,,,1 этаж,,
"Литературный бульвар, 1",70000001055176024,"Royal dent, стоматологическая клиника",branch,,,1 этаж,,
"Большая Очаковская улица, 2",70000001101135585,"Esenli, семейная стоматологическая клиника",branch,,,"1, 2 этаж",,
"Цветной бульвар, 21 ст6",4504127908435815,"Улыбка, стоматологическая клиника",branch,,,1 этаж,,
"Вокзальная площадь, 7 ст5",4504127920819592,"Гармония, медицинский центр",branch,,,2 этаж,,
"улица 1905 года, 15",4504127908501363,"М-р Вайт, стоматологическая клиника",branch,,,1 этаж,,
"Юбилейный проспект, 72",70000001018772748,"Бриллиант Дент, стоматологическая клиника",branch,,,1 этаж,,
"улица Самуила Маршака, 23 к1",70000001035383985,"Созидание, стоматологическая клиника",branch,,,1 этаж,,
"улица Малая Дмитровка, 25 ст1",70000001081093511,"Videnta, стоматология",branch,,,21 помещение; 1 этаж,,
"Мичуринский проспект, 9",4504127908416783,"Диамант, стоматологическая клиника",branch,,,1 этаж,,
"улица Обручева, 8",70000001032607562,"Арт-Дентале, стоматологическая клиника",branch,,,1 этаж; вывеска Стоматология,,
"Цветной бульвар, 30",70000001044695790,"N-clinic, стоматологический центр",branch,,,,,
"Вернадского проспект, 61 к1",70000001046975066,"ДС клиник, стоматологическая клиника",branch,,,1 этаж,,
"Профсоюзная улица, 56",70000001055659799,"Vimontale, стоматологическая клиника",branch,,,5 этаж,,
"улица Лихоборские Бугры, 12",70000001060530075,Стоматология 360,branch,,,1 этаж,,
"Большая Тульская улица, 2",4504127908393741,"Дента Нэкст, стоматологическая клиника",branch,,,2 этаж,,
"Осенний бульвар, 5 к1",4504127908369491,"Вейлаком, стоматологическая клиника",branch,,,1 этаж,,
"улица Васильцовский Стан, 9",4504128908747897,"Неомед, стоматологический центр",branch,,,1 этаж,,
"Профсоюзная улица, 68 к1",70000001091796492,"Воронцово Мед, частная клиника",branch,,,,,
"улица Богданова, 2 к1",4504127915639440,"КДК Дент, стоматологическая клиника",branch,,,1 этаж; вход с ул. Главмосстроя,,
"Вспольный переулок, 17",4504128908699662,Стоматология dr. Яковлевой,branch,,,1 этаж,,
"Молодогвардейская улица, 15",70000001039381737,"СтомВилль, стоматологическая клиника",branch,,,1 этаж,,
"посёлок Аничково, 3",70000001028167441,"Доктор Вока, медицинский центр",branch,,,1 этаж,,
"улица 8 Марта, вл16 к1",70000001075020628,"Респект клиник, стоматологическая клиника",branch,,,1 этаж,,
"Жулебинский бульвар, 14",4504127908495076,"Смартлайн, стоматологическая клиника",branch,,,1 этаж,,
"Ярцевская улица, 3",4504127908918032,Институт врождённых заболеваний челюстно-лицевой области,branch,,,1 этаж,,
"улица Гризодубовой, 4 к4",4504127915378528,"Личный доктор, стоматологическая клиника",branch,,,,,
"улица Москвитина, 3 к1",70000001040784609,"Денталь вк, стоматологическая клиника",branch,,,1 этаж,,
"улица Зои и Александра Космодемьянских, 4 ст2",4504127908498977,"ЛидерСтом, стоматологическая клиника",branch,,,,,
"Рязановское шоссе, 19",4504128908667360,"Griart Dent, стоматологическая клиника",branch,,,1 этаж,,
"улица Берзарина, 16",70000001020709964,"Бобров Клиник, стоматологическая клиника",branch,,,2 этаж,,
"Зеленоград, к251",4504127908502641,"Стар, стоматологическая клиника",branch,,,1 этаж; вход с проспекта Генерала Алексеева,,
"Центральный проезд, 1",70000001017564930,"Стома, стоматологический центр",branch,,,1 этаж; 1 подъезд,,
"набережная Тараса Шевченко, 1",4504127908388611,"DemoStom, стоматологический центр",branch,,,1 этаж,,
"улица Авиаконструктора Миля, 20",4504128908756537,"Сити Дент, стоматологический центр",branch,,,1 этаж,,
"Ленинградский проспект, 35 ст1",4504127908495767,"Ордовский и коллеги, стоматологическая клиника",branch,,,1 этаж,,
"Корабельная улица, 9",70000001067126004,"К-9, клинико-диагностический центр превентивной медицины",branch,,,1 этаж,,
"Юбилейная улица, 1 к2",70000001034387421,Центр семейной стоматологии,branch,,,1 этаж,,
"Северная улица, 5 к4",70000001067939195,"Вайтис, стоматологическая клиника",branch,,,1 этаж,,
"Парковая улица, 44 к1",70000001095330960,"Денталь-К, стоматологическая клиника",branch,,,,,
"Бескудниковский бульвар, 32 к6",70000001054831482,"Great smile, стоматология",branch,,,,,
"Денисовский переулок, 22",70000001056248556,"Доктор Жеваго, стоматологическая клиника",branch,,,1 этаж,,
"улица Новаторов, 4 к5",70000001047165104,"VivaStom, стоматологическая клиника",branch,,,1 этаж,,
"улица Фрунзе, 5",70000001066161816,"Новая Медицина, медицинский центр",branch,"Киржач, улица Фрунзе, 5",Медицинское учреждение,,,
"Беломорская улица, 18а",70000001093015592,"КенгаРу, стоматологическая клиника",branch,,,,,
"улица Александры Монаховой, 109 к3",70000001039466678,"Артадент, стоматология",branch,,,,,
"улица Марии Рубцовой, 3",4504127908362567,"Полистом, стоматологическая клиника",branch,,,1 этаж,,
"Зеленоград, к2008",4504127909288880,"Ортодонт премьер, стоматологический центр",branch,,,1 этаж,,
"улица Александры Монаховой, 94 к2",70000001039828763,"Стоматология.ру, стоматологический центр",branch,,,,,
"Варшавское шоссе, 141 к13",70000001041384969,"Лира, стоматологическая клиника",branch,,,1 этаж,,
"4-я Гражданская улица, 36",70000001047165128,"VivaStom, стоматологическая клиника",branch,,,1 этаж,,
"улица Некрасова, 9",4504127916108675,"Добрый доктор, стоматологическая клиника",branch,,,1 этаж,,
"улица Дыбенко, 18 к1",4504128908468376,Первая стоматология,branch,,,1 этаж,,
"Алма-Атинская улица, 11 к1",70000001018972045,"Пять плюс, медицинский центр",branch,,,1 этаж,,
"Тайнинская улица, 15 к1",70000001064286764,"Доктор Карамелькин, семейная стоматология",branch,,,1 этаж,,
"улица Генерала Кузнецова, 16 к1",70000001067914581,"Cryonic, стоматологическая клиника",branch,,,,,
"улица Академика Анохина, 9",4504127914406930,Современная Стоматологическая Клиника,branch,,,1 этаж; вход с внешней стороны дома,,
"Бескудниковский бульвар, 6 к3",4504127908447957,"Совершенство, медицинский центр",branch,,,1 этаж,,
"Заводская улица, 4",4504127909216989,Стоматологическая клиника Александра Горбачева,branch,,,1 этаж,,
"улица Гудкова, 21",70000001104544114,"Ника family, стоматологический центр",branch,,,,,
"Холодильный переулок, 4",70000001109738878,"ProDental на Тульской, стоматология",branch,,,1 этаж,,
